AC499,KLTN ngành Kế toán,KLTNKETOAN.1,1,1-1,BOMON,6,Bộ môn Kinh tế(CQ)
AD206,Ẩm thực Việt Nam,AMTHUCVN.1_LT,2,6-8,A606,3,Bùi Cẩm Phượng(CDL005)
AD206,Ẩm thực Việt Nam,AMTHUCVN.1.1_BT,3,1-4,BOMON,3,Trần Quốc Hưng(MDL001)
AD206,Ẩm thực Việt Nam,AMTHUCVN.1.2_BT,3,6-9,BOMON,3,Trần Quốc Hưng(MDL001)
TR323,Các nghiệp vụ cơ bản trong kinh doanh lữ hành,NVUCBKDLUHANH.1,6,6-9,BOMON,3,Nguyễn Đức Khoa(CDL006)
BA490,CĐTN chuyên ngành Quản trị doanh nghiệp,CĐTN:NGANHQTDN.1,6,1-5,B106,3,Vương Thị Thanh Trì(CQM004)
MK490,CĐTN chuyên ngành Quản trị marketing,CĐTN:NGANHQTMARKETING.1,4,1-5,B108,3,Vũ Thị Tuyết(CQM002)
FN490,CĐTN chuyên ngành Tài chính,CĐTN:NGANHTAICHINH.1,2,1-2,B406,3,Ngô Thị Quyên(CQB001)
FN490,CĐTN chuyên ngành Tài chính,CĐTN:NGANHTAICHINH.1,6,3-5,B510,3,Ngô Thị Quyên(CQB001)
AC490,CĐTN ngành Kế toán,CĐTN:NGANHKETOAN.2,5,6-10,B105,3,Nguyễn Thị Đông(CQA009)
TR495,CĐTN: Đánh giá chất lượng dịch vụ trong du lịch,CĐTN:DANHGIACHATLUONGDVDL.1,6,1-5,B403,3,Trịnh Xuân Dũng(CDL001)
TR494,CĐTN: Đánh giá nguồn nhân lực trong du lịch,CĐTN:DANHGIANGUONNLDL.1,4,1-5,B612,3,Nguyễn Văn Bình(CDL002)
EC490,CĐTN: Về Kinh tế học,CĐTN:KINHTEHOC.2,2,4-5,A502,3,Lê Thị Kim Chung(CQE004)
EC490,CĐTN: Về Kinh tế học,CĐTN:KINHTEHOC.1,2,6-8,A502,3,Lê Thị Kim Chung(CQE004)
EC490,CĐTN: Về Kinh tế học,CĐTN:KINHTEHOC.2,4,6-8,A502,3,Lê Thị Kim Chung(CQE004)
EC490,CĐTN: Về Kinh tế học,CĐTN:KINHTEHOC.1,5,4-5,A402,3,Lê Thị Kim Chung(CQE004)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.1_LT,2,6-7,A709,2,Trần Thị Huệ(CTI014)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.1.1_BT,2,8-10,A709,2,Trần Thị Huệ(CTI014)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.2_LT,4,1-2,A709,2,Mai Thuý Nga(CTI008)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.2.1_BT,4,3-5,A709,2,Mai Thuý Nga(CTI008)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.3_LT,5,1-2,A305,2,Nguyễn Mạnh Hùng(CTI010)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.3.1_BT,5,3-5,A305,2,Nguyễn Mạnh Hùng(CTI010)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.4_LT,5,6-7,A704,2,Nguyễn Hoàng Phương(CTI029)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.4.1_BT,5,8-10,A704,2,Nguyễn Hoàng Phương(CTI029)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.5_LT,6,6-7,A704,2,Nguyễn Mạnh Hùng(CTI010)
IS382,Công nghệ thông tin trong doanh nghiệp,CNTTDNGHIEP.5.1_BT,6,8-10,A704,2,Nguyễn Mạnh Hùng(CTI010)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.2_LT,2,4-5,B503,4,Ngô Thị Thanh Nga(CTM006)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.1_LT,2,6-7,B506,4,Nguyễn Hồng Châu(CTM004)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.2.1_BT,3,3-5,B408,4,Nhâm Ngọc Tần(CTM013)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.2.2_BT,3,3-5,B410,4,Nguyễn Lâm Tùng(CTM008)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.1_LT,4,6-8,B304,4,Nguyễn Hồng Châu(CTM004)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.2_LT,6,3-5,B503,4,Ngô Thị Thanh Nga(CTM006)
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",DSTTUDKTE.1.1_BT,6,6-8,B406,4,Dương Thị Hương(CTM011)
PH201,Đạo đức y học,DAODUCYHOC.1 (TC),6,10-12,B303,2,Hoàng Thị Thanh(CSN031)
FN438,Đầu tư tài chính,DAUTUTAICHINH.1,3,1-2,Afinance,3,Chu Thị Thu Thủy(CQB010)
FN438,Đầu tư tài chính,DAUTUTAICHINH.1,5,1-5,Afinance,3,Chu Thị Thu Thủy(CQB010)
NR325A,Điều dưỡng các bệnh tâm thần,DDTAMTHAN.1 (TC),3,10-11,BENHVIEN,1,Thành Ngọc Minh(MSN093)
NR325A,Điều dưỡng các bệnh tâm thần,DDTAMTHAN.2 (TC),3,10-11,A502,1,
NR325A,Điều dưỡng các bệnh tâm thần,DDTAMTHAN.3 (TC),3,12-13,A402,1,
NR325A,Điều dưỡng các bệnh tâm thần,DDTAMTHAN.4 (TC),6,10-11,A402,1,
NR325B,Điều dưỡng cộng đồng,DDCONGDONG.1 (TC),4,10-11,A402,1,
NR325B,Điều dưỡng cộng đồng,DDCONGDONG.2 (TC),5,10-11,A602,1,
NR325B,Điều dưỡng cộng đồng,DDCONGDONG.3 (TC),6,12-13,A402,1,
FN436,Định giá tài sản,DINHGIATAISAN.1,3,6-10,B708,3,Ngô Thị Quyên(CQB001)
TR341,Du lịch văn hóa,DULICHVHOA.1,3,1-5,B110,3,Nguyễn Văn Bình(CDL002)
ML203,Đường lối cách mạng của Đảng CS Việt Nam,DUONGLOICM.1,4,6-10,,3,
MK334,E – Marketing,EMARKETING.1,3,6-10,A507,3,Nguyễn Tường Minh(CQM016)
PG106,GDTC: Bóng bàn cơ bản,GDTC:BONGBANCB.1,3,1-2,NHATC,1,Vũ Công Hoan(CGP001)
