"","STT","Mã môn","Tên môn","Học phần tiên quyết","TC tiên quyết","Số TC"
"TM","Toán - Tin ứng dụng","AD204","Ẩm thực Việt nam","","","4"
"TM","Toán - Tin ứng dụng","AD204A","Ẩm thực Việt Nam","","","3"
"TM","Toán - Tin ứng dụng","AD206","Ẩm thực Việt Nam","","","3"
"TM","Toán - Tin ứng dụng","AD212","Phương pháp hùng biện và các thủ thuật tranh biện","","36","3"
"TM","Toán - Tin ứng dụng","AD213","Hát – Nhạc","","","3"
"TM","Toán - Tin ứng dụng","AD213A","Hát – Nhạc","","","4"
"TM","Toán - Tin ứng dụng","AD214","Nâng cao chất lượng giọng hát","AD213 (0), AD213A (1)","","3"
"TM","Toán - Tin ứng dụng","AD215","Ứng dụng PowerPoint","IS206 (1), IM201 (0), IM202 (2)","36","3"
"TM","Toán - Tin ứng dụng","AD216","Tâm lý và kỹ năng giao tiếp với người cao tuổi","","50","3"
"TM","Toán - Tin ứng dụng","AD221","Kĩ năng giao lưu văn hóa","","","2"
"TM","Toán - Tin ứng dụng","AD222","Thực hành giao lưu văn hoá","","","3"
"TM","Toán - Tin ứng dụng","AD231","Thể thao","","","3"
"TM","Toán - Tin ứng dụng","AD250","Dinh dưỡng và tiết chế","","","3"
"TM","Toán - Tin ứng dụng","AD312","Bóng đá","","","4"
"TM","Toán - Tin ứng dụng","AD313","Bóng đá nâng cao","AD312 (0)","","4"
"TM","Toán - Tin ứng dụng","AD314","Nhảy hiện đại","","","4"
"TM","Toán - Tin ứng dụng","AD315","Nhảy hiện đại nâng cao","AD314 (0)","","4"
"TM","Toán - Tin ứng dụng","AD414","Toeic","GE305 (0)","","2"
"TM","Toán - Tin ứng dụng","CF201","Lý thuyết thuật toán","MI201 (0)","","3"
"TM","Toán - Tin ứng dụng","CF201A","Lý thuyết thuật toán 1","","","2"
"TM","Toán - Tin ứng dụng","CF201B","Lý thuyết thuật toán 2","","","2"
"TM","Toán - Tin ứng dụng","CF202A","Otomat","","","2"
"TM","Toán - Tin ứng dụng","CF212","Cấu trúc dữ liệu","CS122 (0), CS122A (1), CS122B (2)","","3"
"TM","Toán - Tin ứng dụng","CF212A","Cấu trúc dữ liệu 1","","","2"
"TM","Toán - Tin ứng dụng","CF212B","Cấu trúc dữ liệu 2","","","2"
"TM","Toán - Tin ứng dụng","CF300","Ngôn ngữ toán học","","","3"
"TM","Toán - Tin ứng dụng","CF302","Văn phạm, ngôn ngữ hình thức, otomat và CT dịch","MI201 (0)","","3"
"TM","Toán - Tin ứng dụng","CF302A","Otomat","","","2"
"TM","Toán - Tin ứng dụng","CF302B","Chương trình dịch","","","2"
"TM","Toán - Tin ứng dụng","CF303","Hệ thống TEX","CF302 (0), CF302B (1), CF302A (2)","","2"
"TM","Toán - Tin ứng dụng","CF321","Xử lý tín hiệu số","MI201 (0)","","3"
"TM","Toán - Tin ứng dụng","CF415","Chuyên đề cấu trúc dữ liệu và thuật toán 1","CF201A (1), CF201B (2), CF212 (0), CF212A (3), CF212B (4), MI201 (0)","","4"
"TM","Toán - Tin ứng dụng","CF415A","CĐ cấu trúc dữ liệu và thuật toán 1A","","","3"
